RBP,Motif
RBMY1F,1052_17318228
RBMY1F,M247_0.6
RBMY1F,1053_17318228
RBMY1F,M344_0.6
RBMY1F,922_19282290
HNRNPA3,M022_0.6
HNRNPA3,M023_0.6
HNRNPA3,M024_0.6
HNRNPA3,M271_0.6
HNRNPA3,23_7510636
HNRNPA3,M312_0.6
RBMXL2,M246_0.6
RBMXL2,1052_17318228
RBMXL2,M247_0.6
RBMXL2,1053_17318228
RBMXL2,M344_0.6
RBMXL2,922_19282290
RBMXL3,M246_0.6
RBMXL3,1052_17318228
RBMXL3,M247_0.6
RBMXL3,1053_17318228
RBMXL3,M344_0.6
RBMXL3,922_19282290
ELAVL3,M031_0.6
ELAVL3,M108_0.6
ELAVL3,M112_0.6
ELAVL3,M124_0.6
ELAVL3,M127_0.6
ELAVL3,M232_0.6
ELAVL3,M313_0.6
ELAVL3,M314_0.6
ELAVL3,M315_0.6
ELAVL3,M327_0.6
ELAVL3,M328_0.6
ELAVL3,782_8497264
ELAVL3,M329_0.6
ELAVL3,783_7972035
ELAVL3,M330_0.6
ELAVL3,784_7972035
HNRNPAB,M301_0.6
RBMXL1,M246_0.6
RBMXL1,1052_17318228
RBMXL1,M247_0.6
RBMXL1,1053_17318228
RBMXL1,M344_0.6
RBMXL1,922_19282290
RBMY1J,M246_0.6
RBMY1J,1052_17318228
RBMY1J,M247_0.6
RBMY1J,1053_17318228
RBMY1J,M344_0.6
RBMY1J,922_19282290
RBMY1A1,M246_0.6
RBMY1A1,1052_17318228
RBMY1A1,M247_0.6
RBMY1A1,1053_17318228
RBMY1E,M246_0.6
RBMY1E,1052_17318228
RBMY1E,M247_0.6
RBMY1E,1053_17318228
RBMY1E,M344_0.6
RBMY1E,922_19282290
RBMY1B,M246_0.6
RBMY1B,1052_17318228
RBMY1B,M247_0.6
RBMY1B,1053_17318228
RBMY1B,M344_0.6
RBMY1B,922_19282290
RBMY1D,M246_0.6
RBMY1D,1052_17318228
RBMY1D,M247_0.6
RBMY1D,1053_17318228
RBMY1D,M344_0.6
RBMY1D,922_19282290
ACO1,M256_0.6
ACO1,1213_8021254
YTHDC1,M354_0.6
YTHDC1,969_20167602
ZC3H10,M083_0.6
MBNL2,M037_0.6
MBNL2,M320_0.6
MBNL2,669_20071745
LIN28A,M035_0.6
LIN28A,M153_0.6
LIN28B,M035_0.6
LIN28B,M153_0.6
ZCRB1,M085_0.6
RBM4B,M050_0.6
RBM4B,M109_0.6
RBM4,M050_0.6
RBM4,M109_0.6
YBX2,M082_0.6
YB-1,M081_0.6
YB-1,M111_0.6
PCBP4,M043_0.6
PCBP4,M177_0.6
PCBP4,M188_0.6
PCBP4,M207_0.6
PCBP4,M211_0.6
KHDRBS2,M176_0.6
FXR1,M152_0.6
KHDRBS1,M160_0.6
FXR2,M020_0.6
ANKHD1,M002_0.6
KHDRBS3,M033_0.6
ANKRD17,M002_0.6
hnRNPK,M026_0.6
PCBP1,M177_0.6
MEX3C,M122_0.6
MEX3D,M122_0.6
MEX3B,M122_0.6
PCBP3,M043_0.6
PCBP3,M177_0.6
PCBP3,M188_0.6
PCBP3,M207_0.6
PCBP3,M211_0.6
PCBP2,M043_0.6
RBM5,M053_0.6
RBM5,M145_0.6
RBM6,M161_0.6
MATR3,M036_0.6
U2AF2,M077_0.6
DAZAP1,M013_0.6
ZNF638,M155_0.6
SART3,M062_0.6
RBMS2,M055_0.6
RBMS2,M143_0.6
RBMS2,M164_0.6
CNOT4,M147_0.6
RBM41,M051_0.6
PABPC4,M042_0.6
HNRNPC,M025_0.6
CIRBP,M048_0.6
BRUNOL4,M004_0.6
RBM3,M048_0.6
ESRP2,M141_0.6
ESRP1,M141_0.6
HNRNPL,M027_0.6
HNRNPL,M089_0.6
SNRNP70,M068_0.6
RBM28,M047_0.6
CPEB3,M012_0.6
CPEB3,M120_0.6
CPEB3,M149_0.6
RBM24,M175_0.6
CPEB4,M149_0.6
TIA1,M075_0.6
TIA1,M156_0.6
ENOX1,M140_0.6
TARDBP,M074_0.6
HNRNPA2B1,M024_0.6
HNRNPR,M236_0.6
HNRNPR,M242_0.6
HNRNPR,M243_0.6
RALY,M150_0.6
RBM42,M142_0.6
HNRNPH2,M151_0.6
RBM8A,M054_0.6
RBM38,M049_0.6
RBM38,M170_0.6
RBM38,M175_0.6
RBM38,M238_0.6
RBM38,M240_0.6
MSI1,M040_0.6
MSI1,M167_0.6
SYNCRIP,M236_0.6
SYNCRIP,M242_0.6
SYNCRIP,M243_0.6
CPEB2,M012_0.6
G3BP2,M021_0.6
HNRNPA1L2,M023_0.6
BRUNOL6,M178_0.6
hnRNPLL,M169_0.6
RBMS3,M055_0.6
RBMS3,M164_0.6
A1CF,M001_0.6
PPRC1,M044_0.6
STAR-PAP,M073_0.6
PABPC3,M144_0.6
RBM46,M052_0.6
RBMS1,M143_0.6
MSI2,M040_0.6
MSI2,M167_0.6
SRSF12,M019_0.6
SRSF12,M086_0.6
SRSF12,M087_0.6
SRSF12,M088_0.6
RBM45,M209_0.6
CELF3,M004_0.6
CELF3,M079_0.6
CELF3,M157_0.6
CELF3,M178_0.6
CELF3,M229_0.6
BRUNOL5,M157_0.6
RBM47,M052_0.6
RBM47,M234_0.6
RBM47,M235_0.6
ENOX2,M140_0.6
HNRNPH1,M151_0.6
HNRNPF,M151_0.6
PABPC5,M162_0.6
HNRNPCL1,M158_0.6
SRSF8,M070_0.6
SRSF8,244_7543047
SRSF8,M274_0.6
SRSF8,M332_0.6
SRSF8,M352_0.6
SRSF8,791_10094314
SRSF8,953_7543047
Fusip1,M019_0.6
Fusip1,M086_0.6
Fusip1,M087_0.6
Fusip1,M088_0.6
PABPN1L,M148_0.6
RBMS2P1,M055_0.6
RBMS2P1,M143_0.6
RBMS2P1,M164_0.6
HNRNPA1P7,M022_0.6
HNRNPA1P7,M023_0.6
HNRNPA1P7,M024_0.6
HNRNPA1P7,23_7510636
HNRNPA1P7,M271_0.6
HNRNPA1P7,560_17925491
HNRNPA1P7,M312_0.6
BX511012.1,M019_0.6
BX511012.1,M086_0.6
BX511012.1,M087_0.6
BX511012.1,M088_0.6
HNRNPA1P36,M022_0.6
HNRNPA1P36,M023_0.6
HNRNPA1P36,23_7510636
HNRNPA1P36,M271_0.6
HNRNPA1P36,M312_0.6
HNRNPA1P36,560_17925491
EIF2S1,M231_0.6
SAMD4A,M061_0.6
SAMD4B,M061_0.6
